'1024, SCC 1024', 'mrtc', 'janne_complex', 1051, 1020
'32, SCC 32', 'mrtc', 'jfdctint', 5106, 4932
'128, SCC 128', 'mrtc', 'jfdctint', 5112, 4932
'192, SCC 192', 'mrtc', 'jfdctint', 5052, 4932
'256, SCC 256', 'mrtc', 'jfdctint', 5061, 4932
'512, SCC 512', 'mrtc', 'jfdctint', 5047, 4932
'1024, SCC 1024', 'mrtc', 'jfdctint', 4963, 4932
'32, SCC 32', 'mrtc', 'lcdnum', 1400, 1119
'128, SCC 128', 'mrtc', 'lcdnum', 1399, 1119
'192, SCC 192', 'mrtc', 'lcdnum', 1339, 1119
'256, SCC 256', 'mrtc', 'lcdnum', 1348, 1119
'512, SCC 512', 'mrtc', 'lcdnum', 1269, 1119
'1024, SCC 1024', 'mrtc', 'lcdnum', 1192, 1119
'32, SCC 32', 'mrtc', 'lms', 20258251, 9737989
'128, SCC 128', 'mrtc', 'lms', 16115223, 9737989
'192, SCC 192', 'mrtc', 'lms', 15709504, 9737989
'256, SCC 256', 'mrtc', 'lms', 16031713, 9737989
'512, SCC 512', 'mrtc', 'lms', 17865582, 9737989
'1024, SCC 1024', 'mrtc', 'lms', 22029672, 9737989
'32, SCC 32', 'mrtc', 'loop3', 915, 734
'128, SCC 128', 'mrtc', 'loop3', 914, 734
'192, SCC 192', 'mrtc', 'loop3', 847, 734
'256, SCC 256', 'mrtc', 'loop3', 856, 734
'512, SCC 512', 'mrtc', 'loop3', 842, 734
'1024, SCC 1024', 'mrtc', 'loop3', 772, 734
'32, SCC 32', 'mrtc', 'ludcmp', 207720, 59268
'128, SCC 128', 'mrtc', 'ludcmp', 90883, 59268
'192, SCC 192', 'mrtc', 'ludcmp', 94961, 59268
'256, SCC 256', 'mrtc', 'ludcmp', 97445, 59268
'512, SCC 512', 'mrtc', 'ludcmp', 111415, 59268
'1024, SCC 1024', 'mrtc', 'ludcmp', 249348, 59268
'32, SCC 32', 'mrtc', 'matmult', 106613, 104490
'128, SCC 128', 'mrtc', 'matmult', 106612, 104490
'192, SCC 192', 'mrtc', 'matmult', 106552, 104490
'256, SCC 256', 'mrtc', 'matmult', 106561, 104490
'512, SCC 512', 'mrtc', 'matmult', 104598, 104490
'1024, SCC 1024', 'mrtc', 'matmult', 104521, 104490
'32, SCC 32', 'mrtc', 'minmax', 1294, 1032
'128, SCC 128', 'mrtc', 'minmax', 1261, 1032
'192, SCC 192', 'mrtc', 'minmax', 1174, 1032
'256, SCC 256', 'mrtc', 'minmax', 1199, 1032
'512, SCC 512', 'mrtc', 'minmax', 1154, 1032
'1024, SCC 1024', 'mrtc', 'minmax', 1077, 1032
'32, SCC 32', 'mrtc', 'minver', 33821, 17269
'128, SCC 128', 'mrtc', 'minver', 26976, 17269
'192, SCC 192', 'mrtc', 'minver', 26658, 17269
'256, SCC 256', 'mrtc', 'minver', 26210, 17269
'512, SCC 512', 'mrtc', 'minver', 29081, 17269
'1024, SCC 1024', 'mrtc', 'minver', 35026, 17269
'32, SCC 32', 'mrtc', 'ndes', 35484, 34374
'128, SCC 128', 'mrtc', 'ndes', 35453, 34374
'192, SCC 192', 'mrtc', 'ndes', 35435, 34374
'256, SCC 256', 'mrtc', 'ndes', 35349, 34374
'512, SCC 512', 'mrtc', 'ndes', 35083, 34374
'1024, SCC 1024', 'mrtc', 'ndes', 35019, 34374
'32, SCC 32', 'mrtc', 'nsichneu', 48010, 25885
'128, SCC 128', 'mrtc', 'nsichneu', 38944, 25885
'192, SCC 192', 'mrtc', 'nsichneu', 42748, 25885
'256, SCC 256', 'mrtc', 'nsichneu', 30037, 25885
'512, SCC 512', 'mrtc', 'nsichneu', 39287, 25885
'1024, SCC 1024', 'mrtc', 'nsichneu', 33938, 25885
'32, SCC 32', 'mrtc', 'ns', 13255, 9913
'128, SCC 128', 'mrtc', 'ns', 13254, 9913
'192, SCC 192', 'mrtc', 'ns', 13194, 9913
'256, SCC 256', 'mrtc', 'ns', 10035, 9913
'512, SCC 512', 'mrtc', 'ns', 10021, 9913
'1024, SCC 1024', 'mrtc', 'ns', 9944, 9913
'32, SCC 32', 'mrtc', 'exam', 7673, 5492
'128, SCC 128', 'mrtc', 'exam', 6853, 5492
'192, SCC 192', 'mrtc', 'exam', 5930, 5492
'256, SCC 256', 'mrtc', 'exam', 5939, 5492
'512, SCC 512', 'mrtc', 'exam', 5925, 5492
'1024, SCC 1024', 'mrtc', 'exam', 5523, 5492
'32, SCC 32', 'mrtc', 'qurt', 97269, 40065
'128, SCC 128', 'mrtc', 'qurt', 69988, 40065
'192, SCC 192', 'mrtc', 'qurt', 67634, 40065
'256, SCC 256', 'mrtc', 'qurt', 66294, 40065
'512, SCC 512', 'mrtc', 'qurt', 87722, 40065
'1024, SCC 1024', 'mrtc', 'qurt', 118981, 40065
'32, SCC 32', 'mrtc', 'recursion', 4191, 3398
'128, SCC 128', 'mrtc', 'recursion', 4168, 3398
'192, SCC 192', 'mrtc', 'recursion', 3518, 3398
'256, SCC 256', 'mrtc', 'recursion', 3520, 3398
'512, SCC 512', 'mrtc', 'recursion', 3506, 3398
'1024, SCC 1024', 'mrtc', 'recursion', 3436, 3398
'32, SCC 32', 'mrtc', 'select', 7837, 5865
'128, SCC 128', 'mrtc', 'select', 7025, 5865
'192, SCC 192', 'mrtc', 'select', 6195, 5865
'256, SCC 256', 'mrtc', 'select', 6204, 5865
'512, SCC 512', 'mrtc', 'select', 6190, 5865
'1024, SCC 1024', 'mrtc', 'select', 5903, 5865
'32, SCC 32', 'mrtc', 'sqrt', 915, 734
'128, SCC 128', 'mrtc', 'sqrt', 914, 734
'192, SCC 192', 'mrtc', 'sqrt', 847, 734
'256, SCC 256', 'mrtc', 'sqrt', 856, 734
'512, SCC 512', 'mrtc', 'sqrt', 842, 734
'1024, SCC 1024', 'mrtc', 'sqrt', 772, 734
'32, SCC 32', 'mrtc', 'statemate', 624, 624
'128, SCC 128', 'mrtc', 'statemate', 624, 624
'192, SCC 192', 'mrtc', 'statemate', 624, 624
'256, SCC 256', 'mrtc', 'statemate', 1458, 624
'512, SCC 512', 'mrtc', 'statemate', 624, 624
'1024, SCC 1024', 'mrtc', 'statemate', 1286, 624
'32, SCC 32', 'mrtc', 'ud', 15914, 14176
'128, SCC 128', 'mrtc', 'ud', 15018, 14176
'192, SCC 192', 'mrtc', 'ud', 14887, 14176
'256, SCC 256', 'mrtc', 'ud', 15043, 14176
'512, SCC 512', 'mrtc', 'ud', 15074, 14176
'1024, SCC 1024', 'mrtc', 'ud', 25107, 14176
'128, SCC 2048', 'coremark', 'coremark', 6926108, 6063828
'256, SCC 2048', 'coremark', 'coremark', 6886961, 6063828
'512, SCC 2048', 'coremark', 'coremark', 6903015, 6063828
'128, SCC 2048', 'mibench', 'basicmath_tiny', 54199382, 38166966
'256, SCC 2048', 'mibench', 'basicmath_tiny', 58836710, 38166966
'512, SCC 2048', 'mibench', 'basicmath_tiny', 69366680, 38166966
'128, SCC 2048', 'mibench', 'bitcnts', 50973607, 50949460
'256, SCC 2048', 'mibench', 'bitcnts', 50975942, 50949460
'512, SCC 2048', 'mibench', 'bitcnts', 50985994, 50949460
'128, SCC 2048', 'mibench', 'cjpeg_small', 62964479, 58603241
'256, SCC 2048', 'mibench', 'cjpeg_small', 62258485, 58603241
'512, SCC 2048', 'mibench', 'cjpeg_small', 60822236, 58603241
'128, SCC 2048', 'mibench', 'crc_32', 24501602, 21737039
'256, SCC 2048', 'mibench', 'crc_32', 24840469, 21737039
'512, SCC 2048', 'mibench', 'crc_32', 22782526, 21737039
'128, SCC 2048', 'mibench', 'csusan_small', 4787931, 3354992
'256, SCC 2048', 'mibench', 'csusan_small', 4507765, 3354992
'512, SCC 2048', 'mibench', 'csusan_small', 4826316, 3354992
'128, SCC 2048', 'mibench', 'dbf', 88254532, 83010154
'256, SCC 2048', 'mibench', 'dbf', 87736396, 83010154
'512, SCC 2048', 'mibench', 'dbf', 85861847, 83010154
'128, SCC 2048', 'mibench', 'dijkstra_small', 87530226, 80760884
'256, SCC 2048', 'mibench', 'dijkstra_small', 87230946, 80760884
'512, SCC 2048', 'mibench', 'dijkstra_small', 87178443, 80760884
'128, SCC 2048', 'mibench', 'djpeg_small', 17411955, 16223579
'256, SCC 2048', 'mibench', 'djpeg_small', 17308733, 16223579
'512, SCC 2048', 'mibench', 'djpeg_small', 17289649, 16223579
'128, SCC 2048', 'mibench', 'drijndael', 146512417, 130041179
'256, SCC 2048', 'mibench', 'drijndael', 146541891, 130041179
'512, SCC 2048', 'mibench', 'drijndael', 143631787, 130041179
'128, SCC 2048', 'mibench', 'ebf', 90633813, 83610988
'256, SCC 2048', 'mibench', 'ebf', 90053728, 83610988
'512, SCC 2048', 'mibench', 'ebf', 88184969, 83610988
'128, SCC 2048', 'mibench', 'erijndael', 154150763, 136057403
'256, SCC 2048', 'mibench', 'erijndael', 156623131, 136057403
'512, SCC 2048', 'mibench', 'erijndael', 154370761, 136057403
'128, SCC 2048', 'mibench', 'esusan_small', 8515476, 6557356
'256, SCC 2048', 'mibench', 'esusan_small', 8154560, 6557356
'512, SCC 2048', 'mibench', 'esusan_small', 9094180, 6557356
'128, SCC 2048', 'mibench', 'fft_tiny', 15091183, 10205207
'256, SCC 2048', 'mibench', 'fft_tiny', 15466724, 10205207
'512, SCC 2048', 'mibench', 'fft_tiny', 19655438, 10205207
'128, SCC 2048', 'mibench', 'ifft_tiny', 14778470, 9898104
'256, SCC 2048', 'mibench', 'ifft_tiny', 15229581, 9898104
'512, SCC 2048', 'mibench', 'ifft_tiny', 19211950, 9898104
'128, SCC 2048', 'mibench', 'patricia', 328304310, 257824774
'256, SCC 2048', 'mibench', 'patricia', 315802110, 257824774
'512, SCC 2048', 'mibench', 'patricia', 331157874, 257824774
'128, SCC 2048', 'mibench', 'qsort_small', 79066631, 55937012
'256, SCC 2048', 'mibench', 'qsort_small', 78591785, 55937012
'512, SCC 2048', 'mibench', 'qsort_small', 85951235, 55937012
'128, SCC 2048', 'mibench', 'rawcaudio', 86697293, 73413564
'256, SCC 2048', 'mibench', 'rawcaudio', 86725116, 73413564
'512, SCC 2048', 'mibench', 'rawcaudio', 86697221, 73413564
'128, SCC 2048', 'mibench', 'rawdaudio', 65526924, 55339362
'256, SCC 2048', 'mibench', 'rawdaudio', 65604286, 55339362
'512, SCC 2048', 'mibench', 'rawdaudio', 65526852, 55339362
'128, SCC 2048', 'mibench', 'rsynth_tiny', 81090526, 58506148
'256, SCC 2048', 'mibench', 'rsynth_tiny', 75602621, 58506148
'512, SCC 2048', 'mibench', 'rsynth_tiny', 97657101, 58506148
'128, SCC 2048', 'mibench', 'search_large', 25754083, 16900265
'256, SCC 2048', 'mibench', 'search_large', 26487747, 16900265
'512, SCC 2048', 'mibench', 'search_large', 29231070, 16900265
'128, SCC 2048', 'mibench', 'search_small', 1023282, 673686
'256, SCC 2048', 'mibench', 'search_small', 1048758, 673686
'512, SCC 2048', 'mibench', 'search_small', 1165166, 673686
'128, SCC 2048', 'mibench', 'sha', 26376334, 24034442
'256, SCC 2048', 'mibench', 'sha', 26043776, 24034442
'512, SCC 2048', 'mibench', 'sha', 24135101, 24034442
'128, SCC 2048', 'mibench', 'ssusan_small', 36955706, 34167002
'256, SCC 2048', 'mibench', 'ssusan_small', 36612050, 34167002
'512, SCC 2048', 'mibench', 'ssusan_small', 37336267, 34167002
'128, SCC 2048', 'mrtc', 'adpcm', 2243377, 2237731
'256, SCC 2048', 'mrtc', 'adpcm', 2243430, 2237731
